name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
Caravan Serai and Buried Counting Rooms,cat:market_caravan_serai,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.002517,0.0983,"about 1 per 3,200 x 3,200 blocks","mode surface, tier 3; biomes: Rustwater Ward, Abandoned Cordon, Bleached Expanse, Bitter Orchard, Capitol Ossuary, Neon Dust Basin, Shelterfall Terraces, Iron Convoy Barrens, Gilded Hush, Carousel Wastes, Forgotten Monarch Shore, Boomtown After Midnight, IV - Greed: The Burdened Quarry, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 98,331 sites",0.32%,
Reliquary of the Three Witnesses,cat:reliquary_three_witnesses,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.001474,0.0576,"about 1 per 4,200 x 4,200 blocks","mode surface, tier 5; biomes: Palimpsest Vaultlands, Red Blossom Hollow, Sanguine Exclusion Forest, Hollow Crown Borough, Rootbound Sanctuary, Cinderlake Shelf, Forgotten Monarch Shore, Frostcrown Ramparts, Ringfall Cinders, Cathedral of the Last Ember, Drowned Oath Fen, Bastion of the Unburied, Kandarian Hunting Grounds, I - Limbo: Mourning Fields, II - Lust: The Unceasing Gale, VI - Heresy: Sepulcher of Embers, VII - Violence: Thornblood Reach, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 57,585 sites",0.42%,
Viridian Tide Reactor and Storm Tower,cat:viridian_tide_reactor,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0004008,0.0157,"about 1 per 8,000 x 8,000 blocks","mode surface, tier 4, exclusive; biomes: Viridian Blastlands","956,483 legacy + 6,801,654 expansion regions (1,000k square); 15,655 sites",0.80%,
Bloodroot Sawmill Keep and Log Barracks,cat:bloodroot_sawmill_keep,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0003331,0.0130,"about 1 per 8,800 x 8,800 blocks","mode surface, tier 4, exclusive; biomes: Bloodroot Timberland","956,483 legacy + 6,801,654 expansion regions (1,000k square); 13,013 sites",0.88%,
Endless Night Signal Citadel,cat:endless_night_signal_citadel,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0003174,0.0124,"about 1 per 9,000 x 9,000 blocks","mode surface, tier 4, exclusive; biomes: Endless Night Boulevard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 12,397 sites",0.90%,
Grinning Hollow Amusement Hospital,cat:grinning_hollow_amusement_hospital,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0003173,0.0124,"about 1 per 9,000 x 9,000 blocks","mode surface, tier 4, exclusive; biomes: Grinning Hollow","956,483 legacy + 6,801,654 expansion regions (1,000k square); 12,393 sites",0.90%,
Portal Sanctuary,sanct:portal,"other (HorrorBiomes portal sanctuary, ChatGPT Codex)","exactly one per 256x256 chunks: chunk (cx mod 256 = 8, cz mod 256 = 0); stamped by the chunk generator",0.001526,0.0596,"about 1 per 4,100 x 4,100 blocks",none (any terrain),exact (arithmetic),0.00%,
Ruined Town Lot,ruin:town,"other (JasprApocalypse legacy ruin, ChatGPT Codex)",JasprApocalypse ruin family,0,0.0000,never,-,-,,0%: ruins are disabled live (JasprApocalypse does not place them)
Roadside Motel,ruin:motel,"other (JasprApocalypse legacy ruin, ChatGPT Codex)",JasprApocalypse ruin family,0,0.0000,never,-,-,,0%: ruins are disabled live (JasprApocalypse does not place them)
Watchpost,ruin:watchpost,"other (JasprApocalypse legacy ruin, ChatGPT Codex)",JasprApocalypse ruin family,0,0.0000,never,-,-,,0%: ruins are disabled live (JasprApocalypse does not place them)
Roadside Shrine,ruin:shrine,"other (JasprApocalypse legacy ruin, ChatGPT Codex)",JasprApocalypse ruin family,0,0.0000,never,-,-,,0%: ruins are disabled live (JasprApocalypse does not place them)
Field Bunker,ruin:bunker,"other (JasprApocalypse legacy ruin, ChatGPT Codex)",JasprApocalypse ruin family,0,0.0000,never,-,-,,0%: ruins are disabled live (JasprApocalypse does not place them)
Salvage Yard,ruin:salvage,"other (JasprApocalypse legacy ruin, ChatGPT Codex)",JasprApocalypse ruin family,0,0.0000,never,-,-,,0%: ruins are disabled live (JasprApocalypse does not place them)
The Fold room 00: Return Foyer,fold:0,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 01: Copy Office,fold:1,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 02: Lost Archive,fold:2,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 03: Drowned Bath,fold:3,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 04: Service Tunnel,fold:4,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 05: Waiting Room,fold:5,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 06: Pipe Gallery,fold:6,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 07: Night Classroom,fold:7,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 08: Crate Depot,fold:8,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 09: Green Laboratory,fold:9,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 10: Inverted Hall,fold:10,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 11: Empty Theatre,fold:11,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 12: Stair to Nowhere,fold:12,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 13: Black Chapel,fold:13,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 14: Last Hotel,fold:14,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
The Fold room 15: No Sky Well,fold:15,"other (the Fold, ChatGPT Codex)",fixed 4x4-chunk room grid in the jaspr_backrooms world,0,0.0000,never,-,-,,0% of overworld chunks: generated only in the separate jaspr_backrooms world (already generated)
Subterranean Survival Bunker,glm:B01,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 69.6 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0006048,0.0236,"about 1 per 6,500 x 6,500 blocks","underground: top at y61, lowest of 5 samples must exceed y65; 52x13x39 blocks; picked in 96,035 cells, placed in 94,485 (failed attempts: terrain/habitat 61,684, catalogue 7,490, HorrorBiomes claim 15,400)","6,780,764 cells in a 2,000k x 2,000k square; 94,493 admitted",0.33%,
Pirate Shipwreck Island Base,glm:B04,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 17.8 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00007691,0.0030,"about 1 per 18,200 x 18,200 blocks","shore: some but not all of the 5 samples below y62; origin at waterline; 53x63x59 blocks; picked in 24,535 cells, placed in 12,016 (failed attempts: terrain/habitat 128,931, catalogue 1,024, HorrorBiomes claim 734)","6,780,764 cells in a 2,000k x 2,000k square; 12,017 admitted",0.91%,
Coastal Lighthouse Residence,glm:B05,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 81.3 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0002265,0.0088,"about 1 per 10,600 x 10,600 blocks","shore: some but not all of the 5 samples below y62; origin at waterline; 20x56x20 blocks; picked in 112,149 cells, placed in 35,383 (failed attempts: terrain/habitat 720,066, catalogue 1,566, HorrorBiomes claim 240)","6,780,764 cells in a 2,000k x 2,000k square; 35,387 admitted",0.53%,
Medieval Lighthouse Dwelling,glm:B06,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 67.8 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0003051,0.0119,"about 1 per 9,200 x 9,200 blocks","shore: some but not all of the 5 samples below y62; origin at waterline; 60x63x73 blocks; picked in 93,621 cells, placed in 47,670 (failed attempts: terrain/habitat 476,422, catalogue 4,543, HorrorBiomes claim 4,296)","6,780,764 cells in a 2,000k x 2,000k square; 47,677 admitted",0.46%,
Tilted Towers,glm:B07,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 17.0 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00001392,0.0005,"about 1 per 42,900 x 42,900 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 180x49x155 blocks; picked in 23,495 cells, placed in 2,175 (failed attempts: terrain/habitat 152,224, catalogue 3,592, HorrorBiomes claim 22,006)","6,780,764 cells in a 2,000k x 2,000k square; 2,175 admitted",2.14%,
The Vannah Hotel,glm:B10,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 41.1 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0003252,0.0127,"about 1 per 8,900 x 8,900 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 78x24x44 blocks; picked in 56,486 cells, placed in 50,802 (failed attempts: terrain/habitat 109,724, catalogue 6,265, HorrorBiomes claim 19,411)","6,780,764 cells in a 2,000k x 2,000k square; 50,806 admitted",0.44%,
Spacious Grand Mansion,glm:B13,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 15.9 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00008669,0.0034,"about 1 per 17,200 x 17,200 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 55x99x135 blocks; picked in 21,858 cells, placed in 13,544 (failed attempts: terrain/habitat 82,334, catalogue 2,790, HorrorBiomes claim 17,412)","6,780,764 cells in a 2,000k x 2,000k square; 13,545 admitted",0.86%,
Majestic Royal Mansion,glm:B14,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 40.1 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0003402,0.0133,"about 1 per 8,700 x 8,700 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 53x36x41 blocks; picked in 55,732 cells, placed in 53,156 (failed attempts: terrain/habitat 73,840, catalogue 4,922, HorrorBiomes claim 16,029)","6,780,764 cells in a 2,000k x 2,000k square; 53,156 admitted",0.43%,
